City_ID,City,Country,Max Temp,Lat,lng,Hotel Name
518,kaohsiung,TW,86.0,22.62,120.31,Kindness Hotel
520,tutoia,BR,77.83,-2.76,-42.27,Pousada Guará's
524,hasaki,JP,64.4,35.73,140.83,Inubosaki Kanko Hotel
525,black river,JM,88.0,18.03,-77.85,Idlers' Rest Beach Hotel
526,saint-augustin,CA,65.64,51.23,-58.65,
528,da lat,VN,60.64,11.95,108.44,TTC Hotel - Ngoc Lan
529,bemidji,US,73.99,47.47,-94.88,Hampton Inn & Suites Bemidji
530,tulun,RU,63.84,54.56,100.58,Квартира
531,kudahuvadhoo,MV,83.3,2.67,72.89,Kudahuvadhoo Retreat
532,immokalee,US,90.0,26.42,-81.42,Seminole Casino Hotel Immokalee
535,marzuq,YE,81.61,14.4,46.47,
536,kupang,ID,73.4,-10.17,123.58,Sylvia Hotel Premier Kupang
537,yuanping,CN,65.61,38.72,112.76,Yuanping Xinghe Guesthouse
538,mayo,US,84.99,38.89,-76.51,Resorts Resource Group International
539,severo-yeniseyskiy,RU,60.26,60.37,93.04,Aktolik
540,semey,KZ,64.31,50.41,80.23,Hotel Zhana-Tau
542,svetlyy,RU,69.01,54.67,20.13,"Hostel ""Baltiysky Les"""
544,kerema,PG,79.81,-7.96,145.78,Elore Lodge
546,tigil,RU,62.89,57.8,158.67,Tigil'
547,port-gentil,GA,75.2,-0.72,8.78,Fengshui Residence
548,lardos,GR,75.0,36.09,28.02,Lindos Princess Beach Hotel
