City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,Fare,-16.7,-151.02,78.1,73,9,18.7,PF,2020-06-23 03:04:46
137,Aflao,6.12,1.19,78.8,88,20,3.36,TG,2020-06-23 03:04:46
138,Madang,-5.22,145.8,84.04,75,61,7.11,PG,2020-06-23 03:04:46
139,Zheleznodorozhnyy,55.75,38.0,64.0,82,100,2.24,RU,2020-06-23 03:02:20
140,Sao Filipe,14.9,-24.5,76.59,76,0,7.58,CV,2020-06-23 03:04:47
141,Alofi,-19.06,-169.92,84.2,66,75,4.7,NU,2020-06-23 03:04:47
142,Auki,-8.77,160.7,83.75,79,100,2.93,SB,2020-06-23 03:04:47
143,Osecina,44.37,19.6,64.99,100,90,10.29,RS,2020-06-23 03:04:47
144,Tashtagol,52.77,87.89,62.35,50,0,6.24,RU,2020-06-23 03:04:47
145,Panjab,34.39,67.02,69.19,24,0,1.66,AF,2020-06-23 03:04:47
146,Vila Velha,-20.33,-40.29,64.99,93,20,2.24,BR,2020-06-23 03:02:18
147,Xining,36.62,101.77,66.54,42,89,0.45,CN,2020-06-23 03:00:35
148,Capinopolis,-18.68,-49.57,64.08,58,39,5.46,BR,2020-06-23 03:04:48
149,Clyde River,70.47,-68.59,39.2,93,90,6.93,CA,2020-06-23 03:04:48
150,Barraute,48.43,-77.63,71.6,73,20,4.7,CA,2020-06-23 03:04:48
151,Avarua,-21.21,-159.78,75.2,73,26,13.87,CK,2020-06-23 03:04:49
152,Airai,-8.93,125.41,69.4,64,1,4.61,TL,2020-06-23 03:04:37
153,Armenia,40.0,45.0,64.4,63,20,3.13,AM,2020-06-23 03:04:49
154,Goderich,43.75,-81.72,70.0,81,93,12.01,CA,2020-06-23 03:01:06
155,Bitung,1.45,125.18,89.6,62,40,3.36,ID,2020-06-23 03:04:50
156,Punta Cardon,11.66,-70.22,80.96,80,100,26.91,VE,2020-06-23 03:04:50
157,Namatanai,-3.67,152.43,86.14,65,25,3.76,PG,2020-06-23 03:04:50
158,Hit,33.64,42.83,82.76,18,0,13.76,IQ,2020-06-23 03:04:50
159,Kahului,20.89,-156.47,87.8,45,40,19.46,US,2020-06-23 03:04:11
160,Waipawa,-41.41,175.52,57.2,76,8,3.36,NZ,2020-06-23 03:04:51
161,Kieta,-6.22,155.63,86.05,65,28,3.96,PG,2020-06-23 03:04:51
162,Naze,28.37,129.48,82.4,83,75,16.11,JP,2020-06-23 03:03:39
163,Cadillac,44.25,-85.4,66.2,88,90,2.59,US,2020-06-23 03:04:51
164,Ahuimanu,21.44,-157.84,86.0,54,75,11.41,US,2020-06-23 03:04:51
165,Mirnyy,62.54,113.96,73.4,35,40,8.95,RU,2020-06-23 03:04:51
166,Grand Baie,-20.02,57.58,68.0,83,1,3.0,MU,2020-06-23 03:04:52
